Model,MSO3012
Firmware Version,2.40

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.002,
Horizontal Delay,0,
Sample Interval,2e-06,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.2,
Vertical Position,2,
,,
,,
,,
Label,,
TIME,CH1,CH2
-9.004e-03,0.302469,4.93828
-9.002e-03,0.302719,4.94219
-9.000e-03,0.302094,4.95078
-8.998e-03,0.302719,4.94687
-8.996e-03,0.302906,4.95391
-8.994e-03,0.303438,4.95859
-8.992e-03,0.303156,4.96406
-8.990e-03,0.302656,4.975
-8.988e-03,0.303031,4.97656
-8.986e-03,0.303375,4.98047
-8.984e-03,0.303312,4.98281
-8.982e-03,0.303219,4.98672
-8.980e-03,0.303469,4.98906
-8.978e-03,0.303531,4.99922
-8.976e-03,0.303531,5.00312
-8.974e-03,0.303844,4.99922
-8.972e-03,0.303531,5.00781
-8.970e-03,0.303719,5.01094
-8.968e-03,0.303781,5.01562
-8.966e-03,0.303531,5.01484
-8.964e-03,0.304031,5.02109
-8.962e-03,0.303687,5.02344
-8.960e-03,0.303875,5.01719
-8.958e-03,0.30425,5.02578
-8.956e-03,0.303875,5.02812
-8.954e-03,0.303781,5.03984
-8.952e-03,0.303531,5.03984
-8.950e-03,0.30425,5.0375
-8.948e-03,0.304281,5.04609
-8.946e-03,0.304375,5.04531
-8.944e-03,0.304594,5.05156
-8.942e-03,0.304781,5.06016
-8.940e-03,0.305094,5.05156
-8.938e-03,0.305156,5.06641
-8.936e-03,0.304906,5.06406
-8.934e-03,0.305312,5.08672
-8.932e-03,0.305063,5.09062
-8.930e-03,0.30575,5.08906
-8.928e-03,0.305656,5.09219
-8.926e-03,0.30575,5.09062
-8.924e-03,0.306375,5.09687
-8.922e-03,0.305719,5.10312
-8.920e-03,0.306375,5.10469
-8.918e-03,0.306219,5.10859
-8.916e-03,0.306406,5.11875
-8.914e-03,0.306312,5.12109
-8.912e-03,0.306312,5.12656
-8.910e-03,0.306219,5.12656
-8.908e-03,0.306156,5.12109
-8.906e-03,0.306562,5.12891
-8.904e-03,0.306937,5.13281
-8.902e-03,0.306969,5.12891
-8.900e-03,0.307187,5.13281
-8.898e-03,0.306312,5.1375
-8.896e-03,0.306625,5.14531
-8.894e-03,0.307031,5.15156
-8.892e-03,0.307094,5.14766
-8.890e-03,0.307344,5.15156
-8.888e-03,0.306625,5.16328
-8.886e-03,0.307031,5.15547
-8.884e-03,0.307187,5.15391
-8.882e-03,0.307187,5.15703
-8.880e-03,0.307125,5.16562
-8.878e-03,0.307187,5.17188
-8.876e-03,0.307531,5.17031
-8.874e-03,0.306969,5.16953
-8.872e-03,0.307438,5.17031
-8.870e-03,0.30775,5.18047
-8.868e-03,0.3075,5.18437
-8.866e-03,0.307781,5.18203
-8.864e-03,0.30775,5.18203
-8.862e-03,0.308031,5.18437
-8.860e-03,0.3075,5.18828
-8.858e-03,0.307438,5.19375
-8.856e-03,0.307688,5.19453
-8.854e-03,0.307625,5.20234
-8.852e-03,0.30875,5.19453
-8.850e-03,0.308438,5.20391
-8.848e-03,0.308594,5.20234
-8.846e-03,0.309125,5.19844
-8.844e-03,0.308406,5.20469
-8.842e-03,0.308594,5.21641
