Model,MSO3012
Firmware Version,2.40

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.002,
Horizontal Delay,0,
Sample Interval,2e-06,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.005,
Vertical Position,2,
,,
,,
,,
Label,,
TIME,CH1,CH2
-9.148e-03,0.00297578,0.0423984
-9.146e-03,0.00303203,0.0420938
-9.144e-03,0.00305703,0.0420938
-9.142e-03,0.00305625,0.042125
-9.140e-03,0.00304844,0.0420859
-9.138e-03,0.00303594,0.0422344
-9.136e-03,0.00302422,0.0424766
-9.134e-03,0.00299375,0.0429219
-9.132e-03,0.00298203,0.0432266
-9.130e-03,0.00300156,0.0433281
-9.128e-03,0.00300625,0.0435078
-9.126e-03,0.00302188,0.0434766
-9.124e-03,0.00302422,0.0433906
-9.122e-03,0.00300156,0.0430703
-9.120e-03,0.00300391,0.0431016
-9.118e-03,0.00300859,0.0432109
-9.116e-03,0.00303203,0.0433516
-9.114e-03,0.00302578,0.04325
-9.112e-03,0.00303203,0.0433516
-9.110e-03,0.00302891,0.0433047
-9.108e-03,0.00302656,0.0431484
-9.106e-03,0.00302031,0.0431094
-9.104e-03,0.00302891,0.04325
-9.102e-03,0.00304922,0.04325
-9.100e-03,0.0030625,0.0434297
-9.098e-03,0.00307109,0.0435547
-9.096e-03,0.00309922,0.0434688
-9.094e-03,0.00312187,0.0436094
-9.092e-03,0.003175,0.043875
-9.090e-03,0.00316797,0.0443203
-9.088e-03,0.00317422,0.0443906
-9.086e-03,0.00317266,0.0444297
-9.084e-03,0.00317656,0.0446875
-9.082e-03,0.00317813,0.0447891
-9.080e-03,0.00315859,0.0451172
-9.078e-03,0.00315078,0.0451563
-9.076e-03,0.00319063,0.0452031
-9.074e-03,0.00318437,0.0453359
-9.072e-03,0.00319844,0.0451719
-9.070e-03,0.00318516,0.0451328
-9.068e-03,0.00317891,0.0452188
-9.066e-03,0.00316875,0.0452031
-9.064e-03,0.00316406,0.0453203
-9.062e-03,0.00320313,0.0452578
-9.060e-03,0.00323359,0.0454375
-9.058e-03,0.00327266,0.045375
-9.056e-03,0.00328828,0.0454844
-9.054e-03,0.00330625,0.0456016
-9.052e-03,0.00330703,0.0457031
-9.050e-03,0.00327656,0.0455391
-9.048e-03,0.00326563,0.0455625
-9.046e-03,0.00321719,0.0453984
-9.044e-03,0.00324141,0.0453594
-9.042e-03,0.00324766,0.0453438
-9.040e-03,0.00324219,0.0454766
-9.038e-03,0.00325234,0.04575
-9.036e-03,0.00322969,0.0460547
-9.034e-03,0.00324141,0.04625
-9.032e-03,0.00325547,0.0464141
-9.030e-03,0.00324609,0.0465391
-9.028e-03,0.00329297,0.046625
-9.026e-03,0.00331641,0.0468984
-9.024e-03,0.003325,0.0468203
-9.022e-03,0.00334062,0.0468672
-9.020e-03,0.00333906,0.0468672
-9.018e-03,0.00332734,0.0468047
-9.016e-03,0.00328828,0.0468828
-9.014e-03,0.00330078,0.0470703
-9.012e-03,0.00334297,0.0473516
-9.010e-03,0.00336094,0.0475313
-9.008e-03,0.00337344,0.0475391
-9.006e-03,0.00338203,0.0473672
-9.004e-03,0.00339219,0.0470859
-9.002e-03,0.00340156,0.0470234
-9.000e-03,0.00340391,0.047125
-8.998e-03,0.00338828,0.0473125
-8.996e-03,0.00339141,0.0475156
-8.994e-03,0.00338203,0.0477578
-8.992e-03,0.00338125,0.0479766
-8.990e-03,0.00338828,0.0480781
-8.988e-03,0.0034125,0.0481641
-8.986e-03,0.00343203,0.0481875
-8.984e-03,0.00348594,0.0481641
-8.982e-03,0.00350391,0.0484688
-8.980e-03,0.00352344,0.04875
-8.978e-03,0.00353047,0.0488359
-8.976e-03,0.00350938,0.0488906
-8.974e-03,0.00351406,0.0486484
-8.972e-03,0.00348516,0.0485703
-8.970e-03,0.00347266,0.0484922
-8.968e-03,0.00347891,0.0483281
-8.966e-03,0.00346328,0.0483906
-8.964e-03,0.00350547,0.0483516
-8.962e-03,0.00348125,0.0484688
-8.960e-03,0.00351406,0.0484453
-8.958e-03,0.00352344,0.0484219
-8.956e-03,0.00352969,0.0482031
-8.954e-03,0.00354453,0.0480469
-8.952e-03,0.00351328,0.0481484
-8.950e-03,0.00350625,0.0482891
-8.948e-03,0.00348281,0.0485703
-8.946e-03,0.00348125,0.0487891
-8.944e-03,0.00348906,0.0490547
-8.942e-03,0.00348984,0.0491016
-8.940e-03,0.00351406,0.0489922
-8.938e-03,0.00355078,0.0489297
-8.936e-03,0.00353438,0.0490625
-8.934e-03,0.00356094,0.0491563
-8.932e-03,0.00355,0.0492422
-8.930e-03,0.00358672,0.0492813
-8.928e-03,0.00360781,0.0494609
-8.926e-03,0.00361797,0.0495703
-8.924e-03,0.00362734,0.0496406
-8.922e-03,0.00362578,0.0495
-8.920e-03,0.00363828,0.0494688
-8.918e-03,0.00362578,0.0496094
-8.916e-03,0.00362734,0.0495859
-8.914e-03,0.00362344,0.0497734
-8.912e-03,0.00357891,0.0501328
-8.910e-03,0.00356016,0.0501094
-8.908e-03,0.00357109,0.050375
-8.906e-03,0.00357656,0.0503594
-8.904e-03,0.00357656,0.0504844
-8.902e-03,0.00356719,0.0507656
-8.900e-03,0.00359297,0.0509063
-8.898e-03,0.00360469,0.0508438
-8.896e-03,0.00363359,0.0505156
-8.894e-03,0.00365625,0.0503516
-8.892e-03,0.00368281,0.0500781
-8.890e-03,0.00370703,0.0500547
-8.888e-03,0.00374297,0.0502344
-8.886e-03,0.00375,0.0503203
-8.884e-03,0.00374688,0.0505
-8.882e-03,0.00372656,0.050625
-8.880e-03,0.00369922,0.050625
-8.878e-03,0.00369688,0.0508828
-8.876e-03,0.00368594,0.0508281
-8.874e-03,0.00365859,0.0507188
-8.872e-03,0.00367266,0.0508672
-8.870e-03,0.00369453,0.0510938
-8.868e-03,0.00369688,0.0511328
-8.866e-03,0.00370938,0.0511094
-8.864e-03,0.00370312,0.0511094
-8.862e-03,0.00370234,0.0512734
-8.860e-03,0.00370938,0.0513906
-8.858e-03,0.00371328,0.0512969
-8.856e-03,0.00372734,0.0512109
-8.854e-03,0.00373359,0.0511641
-8.852e-03,0.00376719,0.0511094
-8.850e-03,0.00372969,0.0510313
-8.848e-03,0.00371875,0.0511094
-8.846e-03,0.00372109,0.0511719
-8.844e-03,0.00369609,0.051375
-8.842e-03,0.00370703,0.0514531
-8.840e-03,0.00373359,0.0515
-8.838e-03,0.003725,0.051375
-8.836e-03,0.00373906,0.0513125
-8.834e-03,0.00372734,0.0513984
-8.832e-03,0.00372969,0.0513125
-8.830e-03,0.00372656,0.0513984
-8.828e-03,0.00372266,0.0515391
-8.826e-03,0.00373672,0.0516563
-8.824e-03,0.00373906,0.0518594
-8.822e-03,0.00375156,0.0519063
-8.820e-03,0.00375547,0.0514922
-8.818e-03,0.00378359,0.0514688
-8.816e-03,0.0037875,0.0514375
-8.814e-03,0.00379844,0.0516328
-8.812e-03,0.00383906,0.0517813
-8.810e-03,0.00384453,0.0519453
-8.808e-03,0.00383281,0.0520078
-8.806e-03,0.00383516,0.0521016
-8.804e-03,0.00383047,0.0521406
-8.802e-03,0.00382266,0.0522266
-8.800e-03,0.00380625,0.0521875
-8.798e-03,0.00381094,0.0521406
-8.796e-03,0.00382812,0.0523125
-8.794e-03,0.00383125,0.0522891
-8.792e-03,0.00384531,0.0523516
-8.790e-03,0.00385703,0.0525547
-8.788e-03,0.00388125,0.0525078
-8.786e-03,0.00388594,0.0524141
-8.784e-03,0.0039,0.0522031
-8.782e-03,0.0039,0.0521797
-8.780e-03,0.00388125,0.0521406
-8.778e-03,0.0039,0.0521797
-8.776e-03,0.00387109,0.0524297
-8.774e-03,0.00387891,0.0526875
-8.772e-03,0.00386719,0.0528984
-8.770e-03,0.00386719,0.0529609
-8.768e-03,0.00387891,0.0527969
-8.766e-03,0.00386719,0.0526875
-8.764e-03,0.00389609,0.0526094
-8.762e-03,0.00388203,0.0527969
-8.760e-03,0.00387344,0.0529609
-8.758e-03,0.00386172,0.0528906
-8.756e-03,0.00386094,0.0528203
