Model,MSO3012
Firmware Version,2.40

Waveform Type,ANALOG,,,Waveform Type,ANALOG
Point Format,Y,,,Point Format,Y
Horizontal Units,s,,,Horizontal Units,s
Horizontal Scale,0.004,,,Horizontal Scale,0.004
Horizontal Delay,0,,,Horizontal Delay,0
Sample Interval,4e-06,,,Sample Interval,4e-06
Record Length,10000,,,Record Length,10000
Gating,0.0% to 100.0%,,,Gating,0.0% to 100.0%
Probe Attenuation,1,,,Probe Attenuation,1
Vertical Units,V,,,Vertical Units,V
Vertical Offset,0,,,Vertical Offset,0
Vertical Scale,0.2,,,Vertical Scale,2
Vertical Position,2,,,Vertical Position,0
,,,,,
,,,,,
,,,,,
Label,,,,Label,
TIME,CH1,CH2,,TIME,"MATH<CH1-CH2>"
-1.9352e-02,0.324344,4.36328,,-1.9352e-02,-4.04969
-1.9348e-02,0.324,4.375,,-1.9348e-02,-4.05094
-1.9344e-02,0.324812,4.37578,,-1.9344e-02,-4.05625
-1.9340e-02,0.325906,4.38516,,-1.9340e-02,-4.06375
-1.9336e-02,0.326719,4.38984,,-1.9336e-02,-4.07125
-1.9332e-02,0.327438,4.40234,,-1.9332e-02,-4.07875
-1.9328e-02,0.327688,4.4125,,-1.9328e-02,-4.08188
-1.9324e-02,0.328313,4.41641,,-1.9324e-02,-4.08938
-1.9320e-02,0.329375,4.42422,,-1.9320e-02,-4.09687
-1.9316e-02,0.330281,4.43437,,-1.9316e-02,-4.10031
-1.9312e-02,0.330844,4.44219,,-1.9312e-02,-4.11156
-1.9308e-02,0.331094,4.45703,,-1.9308e-02,-4.11656
-1.9304e-02,0.332063,4.4625,,-1.9304e-02,-4.12875
-1.9300e-02,0.332875,4.46641,,-1.9300e-02,-4.135
-1.9296e-02,0.333187,4.47109,,-1.9296e-02,-4.13687
-1.9292e-02,0.333688,4.47266,,-1.9292e-02,-4.13875
-1.9288e-02,0.333844,4.47656,,-1.9288e-02,-4.14656
-1.9284e-02,0.3345,4.48672,,-1.9284e-02,-4.14875
-1.9280e-02,0.33525,4.4875,,-1.9280e-02,-4.15094
-1.9276e-02,0.336187,4.49687,,-1.9276e-02,-4.16063
-1.9272e-02,0.336688,4.50781,,-1.9272e-02,-4.16469
-1.9268e-02,0.33725,4.52031,,-1.9268e-02,-4.17594
-1.9264e-02,0.338219,4.51953,,-1.9264e-02,-4.18594
-1.9260e-02,0.339313,4.5375,,-1.9260e-02,-4.19562
-1.9256e-02,0.339437,4.54062,,-1.9256e-02,-4.19813
-1.9252e-02,0.340531,4.55,,-1.9252e-02,-4.20188
-1.9248e-02,0.34125,4.55391,,-1.9248e-02,-4.21531
-1.9244e-02,0.341812,4.54844,,-1.9244e-02,-4.2175
-1.9240e-02,0.342219,4.56406,,-1.9240e-02,-4.22313
-1.9236e-02,0.342219,4.56016,,-1.9236e-02,-4.23031
-1.9232e-02,0.342719,4.56641,,-1.9232e-02,-4.23344
-1.9228e-02,0.343594,4.57812,,-1.9228e-02,-4.24313
-1.9224e-02,0.344187,4.58672,,-1.9224e-02,-4.245
-1.9220e-02,0.344719,4.58828,,-1.9220e-02,-4.24937
-1.9216e-02,0.345125,4.59687,,-1.9216e-02,-4.25594
-1.9212e-02,0.345875,4.60156,,-1.9212e-02,-4.26375
-1.9208e-02,0.3465,4.60469,,-1.9208e-02,-4.27125
-1.9204e-02,0.347656,4.61562,,-1.9204e-02,-4.27781
-1.9200e-02,0.34775,4.61875,,-1.9200e-02,-4.28437
-1.9196e-02,0.347906,4.62734,,-1.9196e-02,-4.28656
-1.9192e-02,0.348875,4.63516,,-1.9192e-02,-4.29312
-1.9188e-02,0.349375,4.63984,,-1.9188e-02,-4.29625
-1.9184e-02,0.349031,4.64609,,-1.9184e-02,-4.30719
-1.9180e-02,0.349125,4.64609,,-1.9180e-02,-4.30438
-1.9176e-02,0.349375,4.65234,,-1.9176e-02,-4.30125
-1.9172e-02,0.350156,4.65391,,-1.9172e-02,-4.30594
-1.9168e-02,0.350594,4.66172,,-1.9168e-02,-4.31187
-1.9164e-02,0.351625,4.66797,,-1.9164e-02,-4.31531
-1.9160e-02,0.351625,4.67188,,-1.9160e-02,-4.32375
-1.9156e-02,0.352625,4.67422,,-1.9156e-02,-4.32906
-1.9152e-02,0.35325,4.68281,,-1.9152e-02,-4.33688
-1.9148e-02,0.35375,4.69453,,-1.9148e-02,-4.35313
-1.9144e-02,0.354906,4.70625,,-1.9144e-02,-4.35781
-1.9140e-02,0.355875,4.71484,,-1.9140e-02,-4.36062
-1.9136e-02,0.356594,4.72031,,-1.9136e-02,-4.36719
-1.9132e-02,0.356656,4.72656,,-1.9132e-02,-4.37375
-1.9128e-02,0.357406,4.73281,,-1.9128e-02,-4.37344
-1.9124e-02,0.357594,4.74141,,-1.9124e-02,-4.38187
-1.9120e-02,0.35775,4.74375,,-1.9120e-02,-4.38563
-1.9116e-02,0.358625,4.74531,,-1.9116e-02,-4.3925
-1.9112e-02,0.359281,4.75312,,-1.9112e-02,-4.39844
-1.9108e-02,0.359781,4.75547,,-1.9108e-02,-4.39781
-1.9104e-02,0.359688,4.76328,,-1.9104e-02,-4.41344
-1.9100e-02,0.360406,4.76719,,-1.9100e-02,-4.41375
-1.9096e-02,0.361406,4.76953,,-1.9096e-02,-4.42031
-1.9092e-02,0.361781,4.77734,,-1.9092e-02,-4.42281
-1.9088e-02,0.361781,4.78828,,-1.9088e-02,-4.43187
-1.9084e-02,0.362125,4.79609,,-1.9084e-02,-4.43438
-1.9080e-02,0.362344,4.80156,,-1.9080e-02,-4.43969
-1.9076e-02,0.363406,4.80234,,-1.9076e-02,-4.44062
-1.9072e-02,0.363906,4.80625,,-1.9072e-02,-4.44
-1.9068e-02,0.364625,4.81172,,-1.9068e-02,-4.4475
-1.9064e-02,0.364906,4.81875,,-1.9064e-02,-4.45
-1.9060e-02,0.365375,4.82266,,-1.9060e-02,-4.46281
-1.9056e-02,0.365875,4.83047,,-1.9056e-02,-4.46906
-1.9052e-02,0.365687,4.83516,,-1.9052e-02,-4.47281
-1.9048e-02,0.366,4.83437,,-1.9048e-02,-4.47031
-1.9044e-02,0.366406,4.84219,,-1.9044e-02,-4.47875
-1.9040e-02,0.367219,4.84219,,-1.9040e-02,-4.48188
-1.9036e-02,0.3675,4.84844,,-1.9036e-02,-4.48375
-1.9032e-02,0.367656,4.85703,,-1.9032e-02,-4.48531
-1.9028e-02,0.367719,4.85859,,-1.9028e-02,-4.49656
-1.9024e-02,0.368531,4.86562,,-1.9024e-02,-4.505
-1.9020e-02,0.368969,4.87266,,-1.9020e-02,-4.51094
-1.9016e-02,0.369687,4.875,,-1.9016e-02,-4.51187
-1.9012e-02,0.370094,4.88906,,-1.9012e-02,-4.51656
-1.9008e-02,0.370062,4.88906,,-1.9008e-02,-4.52781
-1.9004e-02,0.371125,4.90156,,-1.9004e-02,-4.53094
-1.9000e-02,0.371938,4.90625,,-1.9000e-02,-4.52875
-1.8996e-02,0.372375,4.90625,,-1.8996e-02,-4.53219
-1.8992e-02,0.372219,4.91797,,-1.8992e-02,-4.54219
