Model,MSO3012
Firmware Version,2.40

Waveform Type,ANALOG,,,Waveform Type,ANALOG
Point Format,Y,,,Point Format,Y
Horizontal Units,s,,,Horizontal Units,s
Horizontal Scale,0.004,,,Horizontal Scale,0.004
Horizontal Delay,0,,,Horizontal Delay,0
Sample Interval,4e-06,,,Sample Interval,4e-06
Record Length,10000,,,Record Length,10000
Gating,0.0% to 100.0%,,,Gating,0.0% to 100.0%
Probe Attenuation,1,,,Probe Attenuation,1
Vertical Units,V,,,Vertical Units,V
Vertical Offset,0,,,Vertical Offset,0
Vertical Scale,2,,,Vertical Scale,1
Vertical Position,0,,,Vertical Position,0
,,,,,
,,,,,
,,,,,
Label,,,,Label,
TIME,CH1,CH2,,TIME,"MATH<CH1-CH2>"
-1.9608e-02,-1.40781,1.36312,,-1.9608e-02,-2.7725
-1.9604e-02,-1.40719,1.36844,,-1.9604e-02,-2.77062
-1.9600e-02,-1.40875,1.36906,,-1.9600e-02,-2.775
-1.9596e-02,-1.40563,1.36906,,-1.9596e-02,-2.77469
-1.9592e-02,-1.40406,1.37125,,-1.9592e-02,-2.77531
-1.9588e-02,-1.40469,1.37125,,-1.9588e-02,-2.77625
-1.9584e-02,-1.40312,1.37406,,-1.9584e-02,-2.77563
-1.9580e-02,-1.39906,1.37312,,-1.9580e-02,-2.77563
-1.9576e-02,-1.40063,1.36906,,-1.9576e-02,-2.77563
-1.9572e-02,-1.39906,1.37469,,-1.9572e-02,-2.77687
-1.9568e-02,-1.39969,1.37406,,-1.9568e-02,-2.77719
-1.9564e-02,-1.3975,1.37531,,-1.9564e-02,-2.77781
-1.9560e-02,-1.39594,1.37656,,-1.9560e-02,-2.77844
-1.9556e-02,-1.39344,1.37875,,-1.9556e-02,-2.77563
-1.9552e-02,-1.39406,1.37781,,-1.9552e-02,-2.77656
-1.9548e-02,-1.39688,1.37813,,-1.9548e-02,-2.77719
-1.9544e-02,-1.39656,1.38062,,-1.9544e-02,-2.77844
-1.9540e-02,-1.39187,1.38281,,-1.9540e-02,-2.77656
-1.9536e-02,-1.39187,1.38375,,-1.9536e-02,-2.77781
-1.9532e-02,-1.39187,1.38469,,-1.9532e-02,-2.77937
-1.9528e-02,-1.39156,1.38594,,-1.9528e-02,-2.78125
-1.9524e-02,-1.39031,1.38625,,-1.9524e-02,-2.77906
-1.9520e-02,-1.38844,1.39,,-1.9520e-02,-2.77906
-1.9516e-02,-1.3875,1.38781,,-1.9516e-02,-2.78031
-1.9512e-02,-1.39031,1.38938,,-1.9512e-02,-2.77875
-1.9508e-02,-1.38781,1.39094,,-1.9508e-02,-2.77937
-1.9504e-02,-1.38688,1.38938,,-1.9504e-02,-2.77781
-1.9500e-02,-1.38625,1.39156,,-1.9500e-02,-2.77813
-1.9496e-02,-1.38688,1.39031,,-1.9496e-02,-2.77813
-1.9492e-02,-1.38531,1.39,,-1.9492e-02,-2.77781
-1.9488e-02,-1.38344,1.39094,,-1.9488e-02,-2.77625
-1.9484e-02,-1.38375,1.38938,,-1.9484e-02,-2.77312
