Model,MSO3012
Firmware Version,2.40

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.002,
Horizontal Delay,0,
Sample Interval,2e-06,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.005,
Vertical Position,2,
,,
,,
,,
Label,,
TIME,CH1,CH2
-9.630e-03,0.000977344,0.0185234
-9.628e-03,0.000982813,0.0185078
-9.626e-03,0.000974219,0.0187266
-9.624e-03,0.000974219,0.0187891
-9.622e-03,0.000926563,0.0189922
-9.620e-03,0.000929687,0.0189922
-9.618e-03,0.000944531,0.0191797
-9.616e-03,0.000960156,0.019375
-9.614e-03,0.000995312,0.0195469
-9.612e-03,0.00104219,0.0197422
-9.610e-03,0.00107266,0.0199922
-9.608e-03,0.00108203,0.0202969
-9.606e-03,0.00109688,0.0199688
-9.604e-03,0.00110469,0.0199141
-9.602e-03,0.00109688,0.0197656
-9.600e-03,0.0011125,0.0195469
-9.598e-03,0.00111641,0.0198828
-9.596e-03,0.00117344,0.0202891
-9.594e-03,0.00120469,0.0203125
-9.592e-03,0.00122891,0.0202109
-9.590e-03,0.001225,0.020375
-9.588e-03,0.00122656,0.0203359
-9.586e-03,0.00125859,0.0206172
-9.584e-03,0.00124453,0.0207656
-9.582e-03,0.00123672,0.0209844
-9.580e-03,0.00121484,0.021125
-9.578e-03,0.00118359,0.0213047
-9.576e-03,0.00118359,0.0215781
-9.574e-03,0.00119766,0.0219219
-9.572e-03,0.00122891,0.0219453
-9.570e-03,0.00124844,0.0222266
-9.568e-03,0.00128984,0.0222891
-9.566e-03,0.00129219,0.0224922
-9.564e-03,0.00130391,0.0223906
-9.562e-03,0.00132656,0.0224063
-9.560e-03,0.00134062,0.0223906
-9.558e-03,0.00134609,0.0224297
-9.556e-03,0.00138047,0.0223281
-9.554e-03,0.00135234,0.0224688
-9.552e-03,0.00137891,0.0223906
-9.550e-03,0.00140391,0.0224453
-9.548e-03,0.00145,0.022625
-9.546e-03,0.00145469,0.0228281
-9.544e-03,0.00148203,0.0231953
-9.542e-03,0.00148828,0.0234219
-9.540e-03,0.00147031,0.0238516
-9.538e-03,0.00148203,0.0239688
-9.536e-03,0.00146875,0.0240937
-9.534e-03,0.00147422,0.0242109
-9.532e-03,0.00150703,0.0243594
-9.530e-03,0.00152109,0.0244219
-9.528e-03,0.00153359,0.0244375
-9.526e-03,0.00151953,0.0243828
-9.524e-03,0.00152578,0.0243984
-9.522e-03,0.001525,0.024625
-9.520e-03,0.00154141,0.0249063
-9.518e-03,0.00159063,0.0250078
-9.516e-03,0.00161406,0.0250859
-9.514e-03,0.00160391,0.0250859
-9.512e-03,0.00162422,0.0252969
-9.510e-03,0.00162656,0.0254375
-9.508e-03,0.00164297,0.0257187
-9.506e-03,0.00163125,0.0259063
-9.504e-03,0.00165938,0.0257578
-9.502e-03,0.00167109,0.0258828
-9.500e-03,0.00167187,0.0261797
-9.498e-03,0.00166797,0.0262031
-9.496e-03,0.00165938,0.0262031
-9.494e-03,0.00169531,0.0259766
-9.492e-03,0.00170625,0.0262656
-9.490e-03,0.00170391,0.0265547
-9.488e-03,0.00173437,0.0267344
-9.486e-03,0.00173437,0.0267891
-9.484e-03,0.00175859,0.0266328
-9.482e-03,0.00177266,0.0266328
-9.480e-03,0.00177109,0.0265156
-9.478e-03,0.0018,0.0267187
-9.476e-03,0.00181719,0.0267969
-9.474e-03,0.00185859,0.0271016
-9.472e-03,0.00184766,0.0272187
-9.470e-03,0.00185859,0.0274453
-9.468e-03,0.00185625,0.0277734
-9.466e-03,0.00183203,0.0280156
-9.464e-03,0.00182969,0.0280313
-9.462e-03,0.00185234,0.0282188
-9.460e-03,0.00188125,0.0282422
-9.458e-03,0.00189141,0.0282734
-9.456e-03,0.00188281,0.0282188
-9.454e-03,0.00187422,0.0283203
-9.452e-03,0.00186484,0.0284375
-9.450e-03,0.0018625,0.0284375
-9.448e-03,0.00187031,0.0285469
-9.446e-03,0.00189062,0.0286016
-9.444e-03,0.00191563,0.0287813
-9.442e-03,0.00192344,0.0292969
-9.440e-03,0.00193984,0.0296797
-9.438e-03,0.00193906,0.0298359
-9.436e-03,0.00195156,0.0298594
-9.434e-03,0.00196797,0.0297031
-9.432e-03,0.00196953,0.0296016
-9.430e-03,0.00198203,0.0296406
-9.428e-03,0.00199219,0.0300391
-9.426e-03,0.00201484,0.0301719
-9.424e-03,0.00203516,0.0304531
-9.422e-03,0.00202266,0.0305781
-9.420e-03,0.002025,0.0307188
-9.418e-03,0.00202344,0.0308125
-9.416e-03,0.00200859,0.0307344
-9.414e-03,0.00201328,0.0306797
-9.412e-03,0.00204375,0.0306797
-9.410e-03,0.00206953,0.0307734
-9.408e-03,0.00207734,0.0310547
-9.406e-03,0.00211641,0.0312188
-9.404e-03,0.00214688,0.0312031
-9.402e-03,0.00215547,0.0313203
-9.400e-03,0.00217969,0.0314922
-9.398e-03,0.00216094,0.03175
-9.396e-03,0.00216953,0.0320781
-9.394e-03,0.00215547,0.0323203
-9.392e-03,0.00215703,0.0325
-9.390e-03,0.00219609,0.0325469
-9.388e-03,0.00221328,0.0325391
-9.386e-03,0.00223594,0.0322734
-9.384e-03,0.00223594,0.0322031
-9.382e-03,0.00223438,0.0320781
-9.380e-03,0.00224453,0.0320547
-9.378e-03,0.00225625,0.0321328
-9.376e-03,0.00226875,0.0321797
-9.374e-03,0.00226484,0.0324609
-9.372e-03,0.00227422,0.0325781
-9.370e-03,0.00229141,0.0325781
-9.368e-03,0.00230547,0.0327422
-9.366e-03,0.00235625,0.0327891
-9.364e-03,0.00236406,0.0329453
-9.362e-03,0.00238438,0.0331172
-9.360e-03,0.00239687,0.0336016
-9.358e-03,0.00239922,0.0338984
-9.356e-03,0.00238594,0.034
-9.354e-03,0.00238281,0.0342109
-9.352e-03,0.00238281,0.0340703
-9.350e-03,0.00234844,0.0341875
-9.348e-03,0.00233359,0.0343125
-9.346e-03,0.00236406,0.0341328
-9.344e-03,0.00235859,0.0342344
-9.342e-03,0.00237266,0.0344531
-9.340e-03,0.00237578,0.0345703
-9.338e-03,0.00239922,0.0344688
-9.336e-03,0.00243125,0.0344141
-9.334e-03,0.00242891,0.0344297
-9.332e-03,0.00244141,0.0344297
-9.330e-03,0.0024375,0.0346172
-9.328e-03,0.00246797,0.0346562
-9.326e-03,0.00246953,0.0347812
-9.324e-03,0.00247188,0.0349141
-9.322e-03,0.00245547,0.0351797
-9.320e-03,0.00246016,0.0355859
-9.318e-03,0.00245937,0.0358594
-9.316e-03,0.00249453,0.035875
-9.314e-03,0.00250625,0.0357109
-9.312e-03,0.00250625,0.0355313
-9.310e-03,0.00249453,0.0354688
-9.308e-03,0.0025125,0.0354531
-9.306e-03,0.00249844,0.0356563
-9.304e-03,0.00247344,0.0359297
-9.302e-03,0.00246953,0.0360938
-9.300e-03,0.00243906,0.0361016
-9.298e-03,0.00246719,0.0360391
-9.296e-03,0.00248828,0.0362188
-9.294e-03,0.00254453,0.0362578
-9.292e-03,0.00255859,0.0365
-9.290e-03,0.00256328,0.0368047
-9.288e-03,0.00257734,0.0371328
-9.286e-03,0.00258203,0.0372734
-9.284e-03,0.00259531,0.0372813
-9.282e-03,0.00261406,0.0371953
-9.280e-03,0.00264453,0.0372344
-9.278e-03,0.00267109,0.0372813
-9.276e-03,0.00268125,0.0375859
-9.274e-03,0.00270391,0.0376797
-9.272e-03,0.00271172,0.0377422
-9.270e-03,0.00270781,0.0377656
-9.268e-03,0.00271172,0.0377813
-9.266e-03,0.00271406,0.0377656
-9.264e-03,0.00271953,0.037625
-9.262e-03,0.00271797,0.0375391
-9.260e-03,0.00271797,0.037375
-9.258e-03,0.00274141,0.0375156
-9.256e-03,0.00272344,0.0377422
-9.254e-03,0.00272188,0.0379297
-9.252e-03,0.00270781,0.0381641
-9.250e-03,0.00271719,0.0382969
-9.248e-03,0.00271797,0.0381875
-9.246e-03,0.00270547,0.038125
-9.244e-03,0.00270547,0.0380078
-9.242e-03,0.00271328,0.0381328
-9.240e-03,0.00275391,0.0382969
-9.238e-03,0.002775,0.0384688
-9.236e-03,0.00277891,0.0387578
-9.234e-03,0.00277813,0.0388984
-9.232e-03,0.00276641,0.0393438
-9.230e-03,0.00279531,0.0394922
-9.228e-03,0.00283125,0.0398203
-9.226e-03,0.00284609,0.0399219
-9.224e-03,0.00286172,0.0399141
-9.222e-03,0.00286641,0.0395859
-9.220e-03,0.00286953,0.0396094
-9.218e-03,0.00285781,0.0399375
-9.216e-03,0.00285781,0.0402266
-9.214e-03,0.00287422,0.0402031
-9.212e-03,0.00289219,0.0402188
-9.210e-03,0.00289375,0.04
-9.208e-03,0.00290703,0.0400938
-9.206e-03,0.00287422,0.0400938
-9.204e-03,0.00290703,0.0402813
-9.202e-03,0.00290078,0.0404219
-9.200e-03,0.0029125,0.0402656
-9.198e-03,0.00290234,0.0403047
-9.196e-03,0.00288594,0.0403047
-9.194e-03,0.00290859,0.0403672
-9.192e-03,0.0029125,0.04075
-9.190e-03,0.00293516,0.0408359
-9.188e-03,0.00292031,0.0408359
-9.186e-03,0.00292266,0.0408047
-9.184e-03,0.00294141,0.0405234
-9.182e-03,0.0029375,0.0405625
-9.180e-03,0.00293281,0.0404688
-9.178e-03,0.00295078,0.0407734
-9.176e-03,0.00296484,0.0410547
-9.174e-03,0.00297578,0.0412813
-9.172e-03,0.00297734,0.0413594
-9.170e-03,0.00298359,0.0417188
-9.168e-03,0.00296563,0.0419297
-9.166e-03,0.00298594,0.04225
-9.164e-03,0.00298984,0.0423906
-9.162e-03,0.00301406,0.0425156
-9.160e-03,0.00303438,0.0425156
-9.158e-03,0.00302578,0.0425313
-9.156e-03,0.00300859,0.0422891
-9.154e-03,0.00298594,0.0422109
-9.152e-03,0.00298359,0.042375
-9.150e-03,0.00297578,0.0425156
-9.148e-03,0.00297344,0.0426328
-9.146e-03,0.00299766,0.0427188
-9.144e-03,0.00302188,0.0430078
-9.142e-03,0.00302188,0.0433438
-9.140e-03,0.00302266,0.0433672
